bjd_tdb,rv,rverr,vsini
2458767.8748760000,13.7066724198,0.1010651406,24.0317390578
2458768.8854899998,13.6772190276,0.0892015570,23.4821226142
2458770.8758740001,13.8813654225,0.1115721598,23.5133492400
2458774.8815170000,14.2594931226,0.1163928015,23.0988426639
2458775.8731390000,13.8088734632,0.1477806116,24.8471915743
2458776.9381909999,13.9293767643,0.0928772981,24.3441383044
2458777.7907920000,14.0220736432,0.1105871644,24.3743968802
2458778.8180780001,13.8633493758,0.0846701916,25.0017105950
2458779.9301189999,13.7365569391,0.0958577597,24.6012998235
2458780.7479400001,14.1802807178,0.0647668282,24.5547874868
2458780.7703430001,14.1276103918,0.0950627399,24.5421233260
2458780.7927170000,14.1898577711,0.0809539556,24.6815390080
2458780.8150789998,13.6528015678,0.0742799795,23.4652821765
2458780.8375340002,14.0848987315,0.0808004349,24.7113648960
2458780.8599310000,14.0759071322,0.0867580702,24.8245156573
2458780.8866510000,13.9715428010,0.0737914182,24.6254955386
2458780.9091759999,13.9693406931,0.0822257371,24.6254959221
2458780.9336040001,14.0197665777,0.1038238627,24.7335624246
2458780.9559030002,14.0311798343,0.0806754237,24.9360777969
2458780.9786990001,13.9884266998,0.0711861532,24.7551920780
2458781.0009400002,13.9020446989,0.0738273501,24.7970097533
2458781.0232440000,13.9027717098,0.0928303594,24.7314719981
