BJD (d),RV (m/s),RV error (m/s),Instrument
2458765.926557,-268.146451003739,11.2423896789551,HIRES
2458781.042264,51.9493507768171,5.72992992401123,HIRES
2458781.036858,84.9056684218759,5.65482950210571,HIRES
2458781.031256,101.876957224466,6.10221338272095,HIRES
2458781.025654,101.575001846574,5.9576530456543,HIRES
2458781.015873,85.5350430517154,7.40829277038574,HIRES
2458781.011371,116.801729329522,6.21101856231689,HIRES
2458781.005688,131.168535888193,6.1700005531311,HIRES
2458781.000259,120.211009193143,6.13377094268799,HIRES
2458780.994703,144.354056190965,5.90072107315063,HIRES
2458780.989101,138.331454835736,5.82510852813721,HIRES
2458781.047484,65.1224453129907,5.93917083740234,HIRES
2458780.983614,151.389264842393,5.71223402023315,HIRES
2458780.97336,160.499317065969,5.75851726531982,HIRES
2458780.968163,142.353638414178,5.98047304153442,HIRES
2458780.962849,138.618556495306,5.22850656509399,HIRES
2458780.957653,105.610416905804,5.52403688430786,HIRES
2458780.952537,99.0829433395043,5.96086740493774,HIRES
2458797.953222,161.229415386405,8.33018398284912,HIRES
2458780.942362,103.927832298628,5.92067956924438,HIRES
2458780.937189,108.913476486821,5.95671558380127,HIRES
2458780.93198,107.110336957667,6.02702474594116,HIRES
2458780.926679,132.850934985139,5.88519716262817,HIRES
2458780.978394,161.84354412893,5.78990650177002,HIRES
2458780.921389,114.435611327747,5.5982141494751,HIRES
2458781.0526,54.2715624112876,5.73759651184082,HIRES
2458781.063041,29.5253845917317,5.99986362457275,HIRES
2458796.916527,-222.201415396266,8.53662204742432,HIRES
2458795.906233,-34.8945748573195,8.30442333221436,HIRES
2458794.869141,-96.385372863622,8.90546894073486,HIRES
2458787.981713,-371.238338076921,10.0114088058472,HIRES
2458781.156679,-85.6555337533036,6.01667356491089,HIRES
2458781.151806,-92.2206254127286,6.01374864578247,HIRES
2458781.146806,-89.1757910926954,5.85166645050049,HIRES
2458781.141876,-75.3390511587423,6.15224742889404,HIRES
2458781.136909,-81.4995147469263,6.16546154022217,HIRES
2458781.131956,-63.7786705845356,6.17404890060425,HIRES
2458781.057773,21.0799409511125,6.19297456741333,HIRES
2458781.12699,-75.9628201298111,5.70723867416382,HIRES
2458781.116851,-53.7626448032615,6.38370895385742,HIRES
2458781.111492,-44.5246518568419,6.26781415939331,HIRES
2458781.106318,-25.3534456409991,6.02592611312866,HIRES
2458781.100982,-33.5819972269911,6.03946304321289,HIRES
2458781.095623,-10.9616202541915,5.87866401672363,HIRES
2458781.09031,11.537018625121,6.24214887619019,HIRES
2458781.085102,0.8507907113847,5.75208854675293,HIRES
2458781.079696,15.7229153357795,6.04237985610962,HIRES
2458781.074082,9.25822518590996,5.95203161239624,HIRES
2458781.06855,33.2606750596863,5.6521954536438,HIRES
2458781.121967,-49.6379266527141,6.53508901596069,HIRES
